Number;Start time in milliseconds;End time in milliseconds;"Text"
1;30400;33240;"{\an8}["Relax" playing]"
2;33320;34720;"{\an8}[gasps]"
3;34800;36960;"{\an8}<i>♪ Relax, don't do it ♪</i>"
4;37040;39120;"[music continues on radio]"
5;39200;41160;"<i>♪ Relax, don't do it ♪</i>"
6;41240;42080;"[music stops]"
7;49560;51280;"[water running]"
8;69040.0001;69960;"Breakfast?"
9;76160;77680.0001;"Here's your tea."
10;84560;85680.0001;""Thanks, Dad.""
11;86880;90320;"Sorry. Sorry, I was miles away.
Got to get everything ready for today."
12;90400;92040.0001;"[dad] This with some computer people?"
13;92120;95960;"Yeah. Tuckersoft.
They do Colin Ritman's games."
14;96040.0001;98560;"Oh, not<i> the</i> Colin Ritman."
15;100880;102160;"Mr. Thakur, the owner,"
16;102240;103840;"said I could show them
my Bandersnatch demo."
17;103920;106840;"-Your Bander-what?
-Bandersnatch."
18;107480;108920;"I've based it on the book."
19;110360;111600;"Was that your mother's?"
20;113680;115240;"It was in her things, yeah."
21;116880;119400;"-Don't know if she read it though.
-Don't think so."
22;119520;122000;""Jerome F. Davies.""
23;123800;125320;"Well, he can't be a great writer."
24;125400;127280;"You're always flicking backwards
and forwards in that."
25;127360;129120;"No, it's a "Choose Your Own Adventure"
book."
26;130160;132440;"You decide what your character does."
27;133720;136120;"-You know, like a game.
-[dad] Sounds thrilling."
28;136560;140880;"How about you decide
what you want for your breakfast?"
29;144360.0001;148400;"Both seem a bit kiddywink to me,
but you will insist."
30;159160;160840;"-[dog barks]
-[dad] Oi!"
31;163920;165640;"Get back next door!"
32;167200;169400;"The bloody hound from next door."
33;169640;170640;"Go on!"
34;171520;172840;"Be the death of us."
35;214560;216680;"["Hold Me Now" playing]"
36;216760;218640;"<i>♪ Warm my heart ♪</i>"
37;221000;223560;"<i>♪ Stay with me ♪</i>"
38;224800;229120;"<i>♪ Let lovin' start, let lovin' start ♪</i>"
39;229200;233160;"<i>♪ Whoa whoa whoa ♪</i>"
40;240200;241800;"Hello, Tuckersoft."
41;242400;245440;"[man] <i>Oh, beautiful. Nice one, Satpal.</i>"
42;245520;249880;"Alright, fetch us 20 B&H, would you?
And... Lion bar."
43;250320;251160;"Good boy."
44;252160;253080;"Ah!"
45;253480;255760;"You... are... Steven."
46;255840;257040;"-Stefan.
-Stefan, sorry, mate."
47;257120;258400;"That's alright. I get it all the time."
48;258640;260640;"Sorry about the chaos.
We just moved in Monday."
49;260720.0001;262480;"-[video game beeps]
-It's big."
50;262560;265040;"Well, expansion, that's my plan."
